Hour,Demand_MW,Solar_Available_MW,Solar_Dispatch_MW,Wind_Speed_mps,Wind_Available_MW,Wind_Dispatch_MW,Hydro_Available_MW,Hydro_Dispatch_MW,Battery_Charge_MW,Battery_Discharge_MW,Battery_SOC_Percent,Battery_Energy_MWh,Renewable_Dispatch_MW,Renewable_Curtailment_MW,Fossil_Grid_Support_MW,Total_Supply_MW,Reserve_MW,Reserve_Margin_Percent,Renewable_Ramp_MW,Renewable_Ramp_Percent,Frequency_Hz,Frequency_Deviation_Hz,Voltage_pu,Voltage_Deviation_pu,Instantaneous_Stability,Wind_Capacity_Factor_Percent,Hydro_Loading_Percent,Hydro_Gate_Opening_Percent,Water_Discharge_m3s,Carbon_Emission_kg,Net_Load_Solar_Only_MW,Net_Load_Solar_Wind_MW,Post_Flexibility_Residual_Load_Hydro_MW,Post_Flexibility_Residual_Load_Hydro_BESS_MW,Net_Load_With_Hydro_MW,Net_Load_With_BESS_MW,Duck_Ramp_Solar_Only_MW,Duck_Ramp_With_Wind_MW,Duck_Ramp_With_Hydro_MW,Duck_Ramp_With_BESS_MW,Rolling_Frequency_Hz,Rolling_Voltage_pu,Rolling_Reserve_Margin_Percent,Grid_Stability_Window
10,121.0,42.9,42.9,7.5,9.285714285714286,9.285714285714285,28.985,28.985,0.0,0.0,20.0,14.0,81.17071428571428,0.0,39.82928571428572,121.0,13.243571428571428,10.945100354191263,9.316492063492063,7.699580217762036,49.966974649088286,-0.03302535091171421,1.0010945100354192,0.0010945100354191606,STABLE,23.21428571428571,85.0,59.49999999999999,82.875,32660.014285714286,78.1,68.81428571428572,39.82928571428572,39.82928571428572,39.82928571428572,39.82928571428572,-2.1500000000000057,-3.2934920634920672,-4.316492063492063,-4.316492063492063,49.96569902032852,1.0028872892800405,28.87289280040397,STABLE WINDOW
11,125.0,48.4,48.4,7.8,10.524444444444443,10.524444444444441,28.985,28.985,0.0,0.0,20.0,14.0,87.90944444444443,0.0,37.090555555555554,124.99999999999999,0.0,0.0,6.738730158730149,5.39098412698412,49.97304507936508,-0.02695492063492111,1.0,0.0,WARNING,26.311111111111103,85.0,59.49999999999999,82.875,30414.255555555552,76.6,66.07555555555555,37.090555555555554,37.090555555555554,37.090555555555554,37.090555555555554,-1.5,-2.7387301587301636,-2.7387301587301636,-2.7387301587301636,49.968038563589204,1.0012514331024833,12.514331024832593,STABLE WINDOW
12,128.0,52.25,52.25,8.0,11.405055849500293,11.405055849500293,30.008000000000003,30.008000000000003,0.0,0.0,20.0,14.0,93.6630558495003,0.0,34.33694415049971,128.0,0.0,0.0,5.753611405055864,4.495008910199894,49.977524955449,-0.022475044551001133,1.0,0.0,WARNING,28.512639623750733,88.0,61.599999999999994,85.8,28156.294203409758,75.75,64.34494415049971,34.33694415049971,34.33694415049971,34.33694415049971,34.33694415049971,-0.8499999999999943,-1.7306114050558392,-2.7536114050558425,-2.7536114050558425,49.97251489463412,1.0003648366784732,3.648366784730421,UNSTABLE WINDOW
13,130.0,55.0,55.0,7.6,9.687854203409758,9.687854203409756,30.69,30.69,0.0,0.0,20.0,14.0,95.37785420340975,0.0,34.622145796590246,130.0,0.0,0.0,1.7147983539094582,1.3190756568534294,49.99340462171573,-0.006595378284266928,1.0,0.0,WARNING,24.21963550852439,90.0,62.99999999999999,87.75,28390.159553203997,75.0,65.31214579659024,34.622145796590246,34.622145796590246,34.622145796590246,34.622145796590246,-0.75,0.9672016460905297,0.28520164609053467,0.28520164609053467,49.981324885509935,1.0,0.0,UNSTABLE WINDOW
14,132.0,52.8,52.8,7.1,7.7815637860082285,7.781563786008228,30.69,30.69,0.0,0.0,20.0,14.0,91.27156378600823,3.552713678800501e-15,40.728436213991785,132.0,0.0,0.0,-4.1062904174015245,-3.110826073789034,49.98444586963105,-0.015554130368947483,1.0,0.0,WARNING,19.45390946502057,90.0,62.99999999999999,87.75,33397.31769547326,79.2,71.41843621399178,40.728436213991785,40.728436213991785,40.728436213991785,40.728436213991785,4.200000000000003,6.106290417401539,6.106290417401539,6.106290417401539,49.98512514893193,1.0,0.0,UNSTABLE WINDOW
15,135.0,48.4,48.4,6.8,6.759129923574367,6.759129923574367,30.008000000000003,30.008000000000003,0.0,0.0,20.0,14.0,85.16712992357438,1.0658141036401503e-14,49.83287007642563,135.0,6.273740152851261,4.64721492803797,-6.104433862433851,-4.5218028610621115,49.97971459315871,-0.02028540684128899,1.0004647214928037,0.00046472149280374353,WARNING,16.897824808935916,88.0,61.599999999999994,85.8,40862.953462669015,86.6,79.84087007642563,49.83287007642563,49.83287007642563,49.83287007642563,49.83287007642563,7.3999999999999915,8.422433862433849,9.104433862433844,9.104433862433844,49.985855028168494,1.0001549071642677,1.5490716426793234,UNSTABLE WINDOW
16,138.0,41.25,41.25,6.5,5.823045267489712,5.823045267489711,28.985,28.985,0.0,0.0,20.0,14.0,76.05804526748972,7.105427357601002e-15,61.9419547325103,138.0,23.468909465020587,17.00645613407289,-9.109084656084661,-6.600785982670044,49.975499298153686,-0.024500701846314143,1.0017006456134072,0.0017006456134072145,STABLE,14.557613168724277,85.0,59.49999999999999,82.875,50792.40288065844,96.75,90.9269547325103,61.9419547325103,61.9419547325103,61.9419547325103,61.9419547325103,10.150000000000006,11.086084656084665,12.109084656084669,12.109084656084669,49.979886586981145,1.0007217890354037,7.217890354036953,WATCH
17,142.0,31.9,31.9,6.2,4.969500293944739,4.969500293944739,27.962,27.962,0.0,0.0,20.0,14.0,64.83150029394474,3.552713678800501e-15,77.16849970605526,142.0,44.89899941211053,31.61901367050037,-11.226544973544975,-7.906017587003503,49.97627941890023,-0.02372058109976649,1.00316190136705,0.0031619013670500795,STABLE,12.423750734861846,81.99999999999999,57.399999999999984,79.94999999999999,63278.169758965305,110.1,105.13049970605526,77.16849970605526,77.16849970605526,77.16849970605526,77.16849970605526,13.349999999999994,14.203544973544965,15.22654497354496,15.22654497354496,49.977164436737546,1.0017757561577536,17.757561577537075,STABLE WINDOW
18,145.0,22.0,22.0,6.0,4.444444444444445,4.444444444444443,27.28,27.28,0.0,0.0,20.0,14.0,53.724444444444444,0.0,91.27555555555556,145.0,66.43111111111111,45.81455938697317,-11.107055849500298,-7.6600385168967575,49.984607087109005,-0.015392912890995092,1.0045814559386974,0.00458145593869741,STABLE,11.111111111111107,80.0,56.0,78.0,74845.95555555556,123.0,118.55555555555556,91.27555555555556,91.27555555555556,91.27555555555556,91.27555555555556,12.900000000000006,13.425055849500296,14.107055849500298,14.107055849500298,49.978795268054306,1.0031480009730516,31.480009730515476,STABLE WINDOW
19,140.0,12.1,12.1,5.8,3.953251028806584,3.953251028806584,26.598000000000003,26.598000000000003,0.0,0.0,20.0,14.0,42.651251028806584,0.0,97.34874897119342,140.0,87.89549794238683,62.78249853027631,-11.07319341563786,-7.909423868312758,49.99184412992357,-0.00815587007642904,1.0062782498530276,0.0062782498530276065,STABLE,9.883127572016459,78.0,54.599999999999994,76.05,79825.9741563786,127.9,123.94674897119341,97.34874897119342,97.34874897119342,97.34874897119342,97.34874897119342,4.900000000000006,5.391193415637858,6.07319341563786,6.07319341563786,49.98424354531093,1.0046738690529249,46.73869052924994,STABLE WINDOW
20,128.0,4.4,4.4,5.9,4.194685479129925,4.194685479129925,25.575000000000003,25.575000000000003,0.0,0.0,20.0,14.0,34.169685479129924,0.0,93.83031452087006,127.99999999999999,103.83562904174015,81.12158518885948,-8.48156554967666,-6.62622308568489,50.007429677166,0.007429677166001625,1.008112158518886,0.008112158518885915,STABLE,10.486713697824813,75.00000000000001,52.50000000000001,73.12500000000001,76940.85790711344,123.6,119.40531452087006,93.83031452087006,93.83031452087006,93.83031452087006,93.83031452087006,-4.300000000000011,-4.541434450323351,-3.5184344503233547,-3.5184344503233547,49.994626964732866,1.0063239547702036,63.239547702036326,STABLE WINDOW
21,112.0,0.0,0.0,6.1,4.702669018224573,4.702669018224573,24.893,24.893,0.0,0.0,20.0,14.0,29.595669018224573,0.0,82.40433098177543,112.0,112.30166196355084,100.26934103888469,-4.5740164609053515,-4.083943268665492,50.02958028365667,0.02958028365667076,1.01,0.010000000000000009,STABLE,11.756672545561432,73.0,51.099999999999994,71.175,67571.55140505586,112.0,107.29733098177543,82.40433098177543,82.40433098177543,82.40433098177543,82.40433098177543,-11.599999999999994,-12.107983539094633,-11.42598353909463,-11.42598353909463,50.00961803024875,1.0081301361239712,81.39114158600682,STABLE WINDOW
22,98.0,0.0,0.0,6.3,5.245079365079365,5.245079365079365,24.552,24.552,0.0,0.0,20.0,14.0,29.797079365079362,0.0,68.20292063492064,98.0,111.55784126984128,113.83453190800131,0.20141034685478942,0.2055207620967239,50.04897239618952,0.04897239618951943,1.01,0.010000000000000009,STABLE,13.112698412698412,71.99999999999999,50.399999999999984,70.19999999999999,55926.39492063493,98.0,92.75492063492064,68.20292063492064,68.20292063492064,68.20292063492064,68.20292063492064,-14.0,-14.542410346854794,-14.201410346854786,-14.201410346854786,50.02866078567073,1.0093707195062953,98.4084860452485,STABLE WINDOW
23,90.0,0.0,0.0,6.4,5.529547325102882,5.529547325102882,23.87,23.87,0.0,0.0,20.0,14.0,29.399547325102883,0.0,60.60045267489711,90.0,111.67090534979424,124.0787837219936,-0.397532039976479,-0.44170226664053225,50.047791488666796,0.047791488666796056,1.01,0.010000000000000009,STABLE,13.823868312757208,70.0,49.0,68.25,49692.37119341563,90.0,84.47045267489712,60.60045267489711,60.60045267489711,60.60045267489711,60.60045267489711,-8.0,-8.28446796002352,-7.602467960023532,-7.602467960023532,50.04211472283766,1.01,112.72755222295986,STABLE WINDOW
